Measure Names,reg_area_cod,species,year,Measure Values
discards,7BCEFGHJK,WHG,2006,2163.94
landings,7BCEFGHJK,WHG,2006,9219.1077
discards,7BCEFGHJK,WHG,2007,13485.343
landings,7BCEFGHJK,WHG,2007,8736.0478
discards,7BCEFGHJK,WHG,2008,5369.158
landings,7BCEFGHJK,WHG,2008,5588.3014
discards,7BCEFGHJK,WHG,2009,7166.906805
landings,7BCEFGHJK,WHG,2009,6217.2717
discards,7BCEFGHJK,WHG,2010,6106.077477
landings,7BCEFGHJK,WHG,2010,8977.624180000
discards,7BCEFGHJK,WHG,2011,4090.021969
landings,7BCEFGHJK,WHG,2011,9175.96939
discards,7BCEFGHJK,WHG,2012,5623.365787
landings,7BCEFGHJK,WHG,2012,9955.27217
discards,7BCEFGHJK,WHG,2013,2971.738499
landings,7BCEFGHJK,WHG,2013,11638.66529
discards,7BCEFGHJK,WHG,2014,5710.214359
landings,7BCEFGHJK,WHG,2014,13255.19192
discards,7BCEFGHJK,WHG,2015,7286.170253
landings,7BCEFGHJK,WHG,2015,13144.48409
