Measure Names,reg_area_cod,species,year,Measure Values
discards,7BCEFGHJK,ANT,2010,9.28
landings,7BCEFGHJK,ANT,2010,0.04
discards,7BCEFGHJK,ANT,2012,0.22
landings,7BCEFGHJK,ANT,2012,0
discards,7BCEFGHJK,API,2014,
landings,7BCEFGHJK,API,2014,0.11973
discards,7BCEFGHJK,APQ,2004,0.971
landings,7BCEFGHJK,APQ,2004,0
discards,7BCEFGHJK,ARG,2003,0.758
landings,7BCEFGHJK,ARG,2003,0
discards,7BCEFGHJK,ARG,2004,0.499
landings,7BCEFGHJK,ARG,2004,0
discards,7BCEFGHJK,ARG,2005,0.835
landings,7BCEFGHJK,ARG,2005,0
discards,7BCEFGHJK,ARG,2006,1.904
landings,7BCEFGHJK,ARG,2006,0
discards,7BCEFGHJK,ARG,2007,4.271
landings,7BCEFGHJK,ARG,2007,0
discards,7BCEFGHJK,ARG,2008,2.654
landings,7BCEFGHJK,ARG,2008,0
discards,7BCEFGHJK,ARG,2009,1.318
landings,7BCEFGHJK,ARG,2009,0
discards,7BCEFGHJK,ARG,2010,1.76
landings,7BCEFGHJK,ARG,2010,0
discards,7BCEFGHJK,ARG,2011,1.395
landings,7BCEFGHJK,ARG,2011,0
discards,7BCEFGHJK,ARG,2012,0.698
landings,7BCEFGHJK,ARG,2012,0
discards,7BCEFGHJK,ARG,2013,0.917
landings,7BCEFGHJK,ARG,2013,0
discards,7BCEFGHJK,ARG,2014,0.037
landings,7BCEFGHJK,ARG,2014,0
discards,7BCEFGHJK,ARU,2003,353.536
landings,7BCEFGHJK,ARU,2003,0
discards,7BCEFGHJK,ARU,2004,232.546
landings,7BCEFGHJK,ARU,2004,0
discards,7BCEFGHJK,ARU,2005,78.751
landings,7BCEFGHJK,ARU,2005,1.16
discards,7BCEFGHJK,ARU,2006,45.314
landings,7BCEFGHJK,ARU,2006,0
discards,7BCEFGHJK,ARU,2007,29.81
landings,7BCEFGHJK,ARU,2007,0
discards,7BCEFGHJK,ARU,2008,502.566
landings,7BCEFGHJK,ARU,2008,0
discards,7BCEFGHJK,ARU,2009,27.29
landings,7BCEFGHJK,ARU,2009,0.45
discards,7BCEFGHJK,ARU,2010,48.12
landings,7BCEFGHJK,ARU,2010,0.18
discards,7BCEFGHJK,ARU,2011,70.7
landings,7BCEFGHJK,ARU,2011,0.13
discards,7BCEFGHJK,ARU,2012,5.4
