"Param","starting_value","Lower","MLE","Upper","final_gradient"
"beta1_ct",-5.9113878108875,-50,-4.39445194001754,50,-0.000108803065865359
"beta1_ct",-5.86666963293679,-50,-3.96721343407544,50,-4.93256195914782e-05
"beta1_ct",-5.61336326753519,-50,-1.08213331241468,50,1.85565019581446e-05
"beta1_ct",-5.61305695001845,-50,-1.46278958767047,50,5.95199031589999e-05
"beta1_ct",-5.53358237501262,-50,0.5716832528152,50,-3.18797655536329e-05
"beta1_ct",-5.66684003521999,-50,-1.73516288424713,50,-5.9053144265353e-05
"beta1_ct",-5.18983391694136,-50,-2.73374588747141,50,-0.000203183591467537
"beta1_ct",-6.01729373496978,-50,-5.55950484990171,50,9.11464948134544e-05
"beta1_ct",-5.17941722876662,-50,-2.29250995429162,50,0.00011119652943431
"beta1_ct",-6.51772585551713,-50,-8.62861831515567,50,-4.47022233218686e-05
"beta1_ct",-6.42357059812572,-50,-1.86910461462741,50,-4.79874076155795e-05
"beta1_ct",-7.66354213902826,-50,-5.97597237458899,50,-7.50890642167157e-05
"beta1_ct",-5.56112745711694,-50,0.502418487654714,50,3.70391336370623e-05
"beta1_ct",-6.31878481681465,-50,-3.5198182110531,50,3.44787976607475e-05
"beta1_ct",-6.9124486131183,-50,-3.3377475090479,50,-9.75378973562258e-05
"beta1_ct",-6.65564828405089,-50,-3.21424896720585,50,3.68763978817466e-05
"beta1_ct",-5.61704636181793,-50,-0.395824593238295,50,2.07437999617532e-05
"beta1_ct",-5.72742586897612,-50,-0.191333667695989,50,-8.5777045319535e-05
"beta1_ct",-5.9113878108875,-50,-4.96290531747611,50,8.37599558766722e-05
"beta1_ct",-5.86666963293679,-50,-3.37386075700112,50,-3.04123960759295e-06
"beta1_ct",-5.61336326753519,-50,-1.63114989036307,50,0.000126761329388714
"beta1_ct",-5.61305695001845,-50,-2.49497589622474,50,-1.15951797963199e-05
"beta1_ct",-5.53358237501262,-50,0.867216124737022,50,-2.07038483912569e-06
"beta1_ct",-5.66684003521999,-50,0.347318706283226,50,0.000115327528195097
"beta1_ct",-5.18983391694136,-50,-2.0708306684922,50,-5.89896655440736e-05
"beta1_ct",-6.01729373496978,-50,-5.19145175541381,50,1.06156297849935e-05
"beta1_ct",-5.17941722876662,-50,-2.22510475383472,50,0.000137301011327917
"beta1_ct",-6.51772585551713,-50,-8.25722050034469,50,-3.08759149443283e-05
"beta1_ct",-6.42357059812572,-50,-2.45290449578676,50,0.000115344049562704
"beta1_ct",-7.66354213902826,-50,-4.23883720265674,50,5.60397199755869e-06
"beta1_ct",-5.56112745711694,-50,1.68404685261154,50,7.7567199981976e-05
"beta1_ct",-6.31878481681465,-50,-3.41372523802732,50,-8.33858019530509e-05
"beta1_ct",-6.9124486131183,-50,-2.34658802082297,50,-9.30987386831283e-05
"beta1_ct",-6.65564828405089,-50,-3.49217274232499,50,-0.000225719721965723
"beta1_ct",-5.61704636181793,-50,0.557710265725689,50,-0.000144367897833564
"beta1_ct",-5.72742586897612,-50,-0.135247115265973,50,0.000121847211283388
"beta1_ct",-5.9113878108875,-50,-3.15835745667858,50,-1.32312644410271e-05
"beta1_ct",-5.86666963293679,-50,-3.37493245488806,50,0.000149818638132349
"beta1_ct",-5.61336326753519,-50,-1.52567759880065,50,0.00012187199332081
"beta1_ct",-5.61305695001845,-50,-1.65287174169822,50,-0.000187774000917185
"beta1_ct",-5.53358237501262,-50,0.742989027830666,50,2.94672686760311e-05
"beta1_ct",-5.66684003521999,-50,0.230781386873508,50,-0.000225656123066464
"beta1_ct",-5.18983391694136,-50,-2.89013033961882,50,-0.000261371247406217
"beta1_ct",-6.01729373496978,-50,-5.37997865614489,50,0.000174732406744482
"beta1_ct",-5.17941722876662,-50,-2.18380910223836,50,0.000140347429830712
"beta1_ct",-6.51772585551713,-50,-7.90409761586511,50,-9.93086347371719e-05
"beta1_ct",-6.42357059812572,-50,-1.14780991706934,50,0.000185232233420596
"beta1_ct",-7.66354213902826,-50,-3.34028097821899,50,-0.000198466397746566
"beta1_ct",-5.56112745711694,-50,0.771948365726005,50,-4.48087650151141e-06
"beta1_ct",-6.31878481681465,-50,-3.33238397183747,50,2.96176683949045e-05
"beta1_ct",-6.9124486131183,-50,-2.94388839536966,50,0.000121076014812371
"beta1_ct",-6.65564828405089,-50,-3.30892316732308,50,6.06410068206831e-05
"beta1_ct",-5.61704636181793,-50,0.103517844381779,50,0.000180133722898157
"beta1_ct",-5.72742586897612,-50,-1.09694487574937,50,0.000100346072979374
