"Category","Year","Unit","Fleet","Estimate_metric_tons","SD_log","SD_mt"
"Gadus morhua_Juv",2006,1,"All_areas",39.7460814146272,0.413914162920888,16.4514660181209
"Gadus morhua_Juv",2007,1,"All_areas",41.879988314716,0.454267340917424,19.0247109293788
"Gadus morhua_Juv",2008,1,"All_areas",14.6106345872511,0.741817787704408,10.8384286264721
"Gadus morhua_Juv",2009,1,"All_areas",75.3256929925541,0.354256009885279,26.6845794413857
"Gadus morhua_Juv",2010,1,"All_areas",291.554736355609,0.211139623779828,61.5587573453503
"Gadus morhua_Juv",2011,1,"All_areas",35.0228263695001,0.391359713986274,13.7065233109585
"Gadus morhua_Juv",2012,1,"All_areas",0.30307837340869,1.39506095125066,0.422812803911031
"Gadus morhua_Juv",2013,1,"All_areas",74.5621126771755,0.309949035593661,23.1104549161164
"Gadus morhua_Juv",2014,1,"All_areas",315.311590812368,0.231963691056546,73.1408404377484
"Gadus morhua_Juv",2015,1,"All_areas",16.8253505951348,0.874495858908978,14.7136994201371
"Lepidorhombus whiffiagonis_Adu",1990,1,"All_areas",4720.96697177379,0.149281657295738,704.753773584835
"Lepidorhombus whiffiagonis_Adu",1991,1,"All_areas",2589.3351557501,0.118837257958662,307.709489845307
"Lepidorhombus whiffiagonis_Adu",1992,1,"All_areas",2531.33817538677,0.144427197688002,365.594079071772
"Lepidorhombus whiffiagonis_Adu",1993,1,"All_areas",4669.52498263807,0.128227319375133,598.760671278895
"Lepidorhombus whiffiagonis_Adu",1994,1,"All_areas",4577.22922571037,0.154725822643675,708.215557376707
"Lepidorhombus whiffiagonis_Adu",1995,1,"All_areas",5177.60071351852,0.155223391190562,803.684740983019
"Lepidorhombus whiffiagonis_Adu",1996,1,"All_areas",4663.06095341908,0.138734776721718,646.928720212357
"Lepidorhombus whiffiagonis_Adu",1997,1,"All_areas",2524.8095614111,0.104907647023488,264.871830270044
"Lepidorhombus whiffiagonis_Adu",1998,1,"All_areas",1902.23045800146,0.125396309509619,238.532679270176
"Lepidorhombus whiffiagonis_Adu",1999,1,"All_areas",1194.93099627517,0.11590774261998,138.501754364899
